Experiment,Drug,IoU,global_weight_factor,dfs_penalty,bonus_exp,isi_floor,decay_factor,mode
Exp2_StrongDecay,DCP07553,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,DCP07553,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,DCP07553,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,DCP07553,1.0,1.0,0.2,1.8,1.0,0.9,normal
Baseline,DCP10157,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,DCP10157,1.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,DCP10157,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,DCP10157,1.0,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,DCP10157,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,DCP10157,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,DCP10157,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,DCP10157,1.0,1.0,0.2,1.8,1.0,0.9,normal
Baseline,DCP12927,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,DCP12927,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,DCP12927,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,DCP12927,0.17647058823529413,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,DCP12927,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,DCP12927,0.5384615384615384,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,DCP12927,0.17647058823529413,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,DCP12927,1.0,1.0,0.2,1.8,1.0,0.9,normal
Baseline,DCP10156,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,DCP10156,0.8181818181818182,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,DCP10156,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,DCP10156,0.8181818181818182,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,DCP10156,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,DCP10156,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,DCP10156,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,DCP10156,1.0,1.0,0.2,1.8,1.0,0.9,normal
